accounts-barclaysglobal,ticket,ART ACCOUNTS FTS,accounts.barclaysglobal.com,SUPPORT-accounts-barclaysglobal,BGI VPO,SOFTWARE,SOFTWARE,ACCOUNTS.BARCLAYSGLOBAL.COM,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
gaa_faser,ticket,SUPPORT-GAA FASER AUTOGEN,,SUPPORT-gaa_faser,BGI VPO,SOFTWARE,SOFTWARE,GAA FASER,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
gaa_gaepm,ticket,SUPPORT-GAA GAEPM AUTOGEN,,SUPPORT-gaa_gaepm,BGI VPO,SOFTWARE,SOFTWARE,GAA GAEPM,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
gaa_gaepm_uk_aa,ticket,SUPPORT-GAA GAEPM_UK AA AUTOGEN,,SUPPORT-gaa_gaepm_uk_aa,BGI VPO,SOFTWARE,SOFTWARE,GAA GAEPM_UK AA,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
gaa_gaepm_uk_alphagen,ticket,SUPPORT-GAA GAEPM_UK ALPHAGEN AUTOGEN,,SUPPORT-gaa_gaepm_uk_alphagen,BGI VPO,SOFTWARE,SOFTWARE,GAA GAEPM_UK ALPHAGEN,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
gaa_growtheq,ticket,SUPPORT-GAA GOS AUTOGEN,,SUPPORT-gaa_growtheq,BGI VPO,SOFTWARE,SOFTWARE,GAA GROWTHEQ,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
gaa_gtaa,ticket,SUPPORT-GAA GTAA AUTOGEN,,SUPPORT-gaa_gtaa,BGI VPO,SOFTWARE,SOFTWARE,GAA GTAA,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
gaa_intellis,ticket,SUPPORT-GAA INTELLIS AUTOGEN,,SUPPORT-gaa_intellis,BGI VPO,SOFTWARE,SOFTWARE,GAA INTELLIS,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
gaa_neualpha,ticket,SUPPORT-GAA NEUALPHA AUTOGEN,,SUPPORT-gaa_neualpha,BGI VPO,SOFTWARE,SOFTWARE,GAA NEUALPHA,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
gaa_otg,ticket,SUPPORT-GAA OTG AUTOGEN,,SUPPORT-gaa_otg,BGI VPO,SOFTWARE,SOFTWARE,GAA OTG,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
gaa_tpg,ticket,SUPPORT-GAA TPG AUTOGEN,,SUPPORT-gaa_tpg,BGI VPO,SOFTWARE,SOFTWARE,GAA TPG,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
gaa_trg,ticket,SUPPORT-GAA TRG AUTOGEN,,SUPPORT-gaa_trg,BGI VPO,SOFTWARE,SOFTWARE,GAA TRG,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
gaa_ukpm,ticket,SUPPORT-GAA UKPM AUTOGEN,,SUPPORT-gaa_ukpm,BGI VPO,SOFTWARE,SOFTWARE,GAA UKPM,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
gaa_usafi,ticket,SUPPORT-GAA USAFI AUTOGEN,,SUPPORT-gaa_usafi,BGI VPO,SOFTWARE,SOFTWARE,GAA USAFI,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
gaa_usss,ticket,SUPPORT-GAA USSS AUTOGEN,,SUPPORT-gaa_usss,BGI VPO,SOFTWARE,SOFTWARE,GAA USSS,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
gate,ticket,ENTERPRISE SYSTEMS MANAGEMENT,,SUPPORT-gate,BGI VPO,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
gcmform,ticket,SUPPORT-GCMFORM,GCM Form Messages,SUPPORT-gcmform,BGI VPO,SOFTWARE,SOFTWARE,GCMFORM,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
gcom,ticket,ENTERPRISE SYSTEMS MANAGEMENT,gcom,SUPPORT-GCOM,BGI VPO,SOFTWARE,SOFTWARE,GCOM,FAULT,SUPPORT-GCOM,GLOBAL 
gds,ticket,SUPPORT-CLIENT APPLICATIONS,,SUPPORT-CLIENT APPLICATIONS,BGI VPO,SOFTWARE,SOFTWARE,CLIENT APPLICATIONS,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
gem,ticket,ENTERPRISE SYSTEMS MANAGEMENT,,SUPPORT-gem,BGI VPO,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
gfit,ticket,SUPPORT-GFIT (GLOBAL FIXED INCOME TEAM),,SUPPORT-gfit,BGI VPO,SOFTWARE,SOFTWARE,GFIT,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
gio,ticket,SUPPORT-GLOBAL INDEX OPTIMIZATION,Global Index Optimization,SUPPORT-gio,BGI VPO,SOFTWARE,SOFTWARE,GIO,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
gio-unix,ticket,SUPPORT-GLOBAL INDEX OPTIMIZATION-UNIX,Global Index Optimization - Unix,SUPPORT-gio-unix,BGI VPO,SOFTWARE,SOFTWARE,GIO-UNIX,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
gitap,ticket,ENTERPRISE SYSTEMS MANAGEMENT,,SUPPORT-gitap,BGI VPO,SOFTWARE,SOFTWARE,SHAREIT,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
